[2025-02-13 14:16:58.115841] Port 1246 is CLOSED
[2025-02-13 14:16:58.117236] Port 1208 is CLOSED
[2025-02-13 14:16:58.118451] Port 1136 is CLOSED
[2025-02-13 14:16:58.118451] Port 1060 is CLOSED
[2025-02-13 14:16:58.119959] Port 1250 is CLOSED
[2025-02-13 14:16:58.119959] Port 1251 is CLOSED
[2025-02-13 14:16:58.121471] Port 1278 is CLOSED
[2025-02-13 14:16:58.125094] Port 1220 is CLOSED
[2025-02-13 14:16:58.127623] Port 1340 is CLOSED
[2025-02-13 14:16:58.129409] Port 1281 is CLOSED
[2025-02-13 14:16:58.129780] Port 1301 is CLOSED
[2025-02-13 14:16:58.131082] Port 1232 is CLOSED
[2025-02-13 14:16:58.134087] Port 1286 is CLOSED
[2025-02-13 14:16:58.135567] Port 1298 is CLOSED
[2025-02-13 14:16:58.136568] Port 1333 is CLOSED
[2025-02-13 14:16:58.138995] Port 1380 is CLOSED
[2025-02-13 14:16:58.140254] Port 1283 is CLOSED
[2025-02-13 14:16:58.141262] Port 1309 is CLOSED
[2025-02-13 14:16:58.143291] Port 1394 is CLOSED
[2025-02-13 14:16:58.144450] Port 1303 is CLOSED
[2025-02-13 14:16:58.144450] Port 1254 is CLOSED
[2025-02-13 14:16:58.145300] Port 1371 is CLOSED
[2025-02-13 14:16:58.148920] Port 1305 is CLOSED
[2025-02-13 14:16:58.150284] Port 1295 is CLOSED
[2025-02-13 14:16:58.151468] Port 1439 is CLOSED
[2025-02-13 14:16:58.154990] Port 1431 is CLOSED
[2025-02-13 14:16:58.155457] Port 1373 is CLOSED
[2025-02-13 14:16:58.158176] Port 1331 is CLOSED
[2025-02-13 14:16:58.158176] Port 1294 is CLOSED
[2025-02-13 14:16:58.160124] Port 1438 is CLOSED
[2025-02-13 14:16:58.161433] Port 1366 is CLOSED
[2025-02-13 14:16:58.162226] Port 1412 is CLOSED
[2025-02-13 14:16:58.163217] Port 1424 is CLOSED
[2025-02-13 14:16:58.166865] Port 1414 is CLOSED
[2025-02-13 14:16:58.170571] Port 1354 is CLOSED
[2025-02-13 14:16:58.170571] Port 1442 is CLOSED
[2025-02-13 14:16:58.173813] Port 1411 is CLOSED
[2025-02-13 14:16:58.173813] Port 1459 is CLOSED
[2025-02-13 14:16:58.173813] Port 1441 is CLOSED
[2025-02-13 14:16:58.173813] Port 1458 is CLOSED
[2025-02-13 14:16:58.175405] Port 1497 is CLOSED
[2025-02-13 14:16:58.176826] Port 1507 is CLOSED
[2025-02-13 14:16:58.184192] Port 1453 is CLOSED
[2025-02-13 14:16:58.188190] Port 1478 is CLOSED
[2025-02-13 14:16:58.189684] Port 1524 is CLOSED
[2025-02-13 14:16:58.190606] Port 1515 is CLOSED
[2025-02-13 14:16:58.193222] Port 1450 is CLOSED
[2025-02-13 14:16:58.196937] Port 1482 is CLOSED
[2025-02-13 14:16:58.198254] Port 1516 is CLOSED
[2025-02-13 14:16:58.200536] Port 1551 is CLOSED
[2025-02-13 14:16:58.202668] Port 1564 is CLOSED
[2025-02-13 14:16:58.203683] Port 1579 is CLOSED
[2025-02-13 14:16:58.204787] Port 1574 is CLOSED
[2025-02-13 14:16:58.206045] Port 1566 is CLOSED
[2025-02-13 14:16:58.208921] Port 1575 is CLOSED
[2025-02-13 14:16:58.208921] Port 1520 is CLOSED
[2025-02-13 14:16:58.214562] Port 1557 is CLOSED
[2025-02-13 14:16:58.215563] Port 1554 is CLOSED
[2025-02-13 14:16:58.220387] Port 1577 is CLOSED
[2025-02-13 14:16:58.221554] Port 1580 is CLOSED
[2025-02-13 14:16:58.222477] Port 1586 is CLOSED
[2025-02-13 14:16:58.222477] Port 1584 is CLOSED
[2025-02-13 14:16:58.223779] Port 1568 is CLOSED
[2025-02-13 14:16:58.227975] Port 1530 is CLOSED
[2025-02-13 14:16:58.231845] Port 1593 is CLOSED
[2025-02-13 14:16:58.233124] Port 1600 is CLOSED
[2025-02-13 14:16:58.234264] Port 1597 is CLOSED
[2025-02-13 14:16:58.236277] Port 1614 is CLOSED
[2025-02-13 14:16:58.236277] Port 1641 is CLOSED
[2025-02-13 14:16:58.238538] Port 1630 is CLOSED
[2025-02-13 14:16:58.239506] Port 1638 is CLOSED
[2025-02-13 14:16:58.240515] Port 1587 is CLOSED
[2025-02-13 14:16:58.241516] Port 1731 is CLOSED
[2025-02-13 14:16:58.241516] Port 1642 is CLOSED
[2025-02-13 14:16:58.244632] Port 1672 is CLOSED
[2025-02-13 14:16:58.247674] Port 1680 is CLOSED
[2025-02-13 14:16:58.248677] Port 1676 is CLOSED
[2025-02-13 14:16:58.249968] Port 1713 is CLOSED
[2025-02-13 14:16:58.251485] Port 1645 is CLOSED
[2025-02-13 14:16:58.252494] Port 1666 is CLOSED
[2025-02-13 14:16:58.252494] Port 1651 is CLOSED
[2025-02-13 14:16:58.255688] Port 1673 is CLOSED
[2025-02-13 14:16:58.255688] Port 1677 is CLOSED
[2025-02-13 14:16:58.259229] Port 1660 is CLOSED
[2025-02-13 14:16:58.260073] Port 1705 is CLOSED
[2025-02-13 14:16:58.262073] Port 1646 is CLOSED
[2025-02-13 14:16:58.264170] Port 1711 is CLOSED
[2025-02-13 14:16:58.265685] Port 1729 is CLOSED
[2025-02-13 14:16:58.267053] Port 1727 is CLOSED
[2025-02-13 14:16:58.267474] Port 1653 is CLOSED
[2025-02-13 14:16:58.267474] Port 1732 is CLOSED
[2025-02-13 14:16:58.270031] Port 1737 is CLOSED
[2025-02-13 14:16:58.271925] Port 1682 is CLOSED
[2025-02-13 14:16:58.273317] Port 1718 is CLOSED
[2025-02-13 14:16:58.273317] Port 1662 is CLOSED
[2025-02-13 14:16:58.273317] Port 1738 is CLOSED
[2025-02-13 14:16:58.274327] Port 1746 is CLOSED
[2025-02-13 14:16:58.275357] Port 1706 is CLOSED
[2025-02-13 14:16:58.276899] Port 1709 is CLOSED
[2025-02-13 14:16:58.278899] Port 1741 is CLOSED
[2025-02-13 14:16:58.279960] Port 1764 is CLOSED
[2025-02-13 14:16:58.280969] Port 1752 is CLOSED
[2025-02-13 14:16:58.282060] Port 1743 is CLOSED
[2025-02-13 14:16:58.283247] Port 1759 is CLOSED
[2025-02-13 14:16:58.283247] Port 1758 is CLOSED
[2025-02-13 14:16:58.285653] Port 1753 is CLOSED
[2025-02-13 14:16:58.285653] Port 1782 is CLOSED
[2025-02-13 14:16:58.285653] Port 1771 is CLOSED
[2025-02-13 14:16:58.286985] Port 1792 is CLOSED
[2025-02-13 14:16:58.288125] Port 1671 is CLOSED
[2025-02-13 14:16:58.288125] Port 1811 is CLOSED
[2025-02-13 14:16:58.289134] Port 1788 is CLOSED
[2025-02-13 14:16:58.289134] Port 1785 is CLOSED
[2025-02-13 14:16:58.290681] Port 1816 is CLOSED
[2025-02-13 14:16:58.292007] Port 1797 is CLOSED
[2025-02-13 14:16:58.292007] Port 1667 is CLOSED
[2025-02-13 14:16:58.294712] Port 1747 is CLOSED
[2025-02-13 14:16:58.298445] Port 1790 is CLOSED
[2025-02-13 14:16:58.301540] Port 1853 is CLOSED
[2025-02-13 14:16:58.302887] Port 1859 is CLOSED
[2025-02-13 14:16:58.305355] Port 1815 is CLOSED
[2025-02-13 14:16:58.305355] Port 1845 is CLOSED
[2025-02-13 14:16:58.306042] Port 1886 is CLOSED
[2025-02-13 14:16:58.306042] Port 1861 is CLOSED
[2025-02-13 14:16:58.307303] Port 1874 is CLOSED
[2025-02-13 14:16:58.307831] Port 1847 is CLOSED
[2025-02-13 14:16:58.309144] Port 1850 is CLOSED
[2025-02-13 14:16:58.313696] Port 1904 is CLOSED
[2025-02-13 14:16:58.317340] Port 1866 is CLOSED
[2025-02-13 14:16:58.317340] Port 1882 is CLOSED
[2025-02-13 14:16:58.319693] Port 1895 is CLOSED
[2025-02-13 14:16:58.320815] Port 1900 is CLOSED
[2025-02-13 14:16:58.322574] Port 1896 is CLOSED
[2025-02-13 14:16:58.323175] Port 1898 is CLOSED
[2025-02-13 14:16:58.325258] Port 1944 is CLOSED
[2025-02-13 14:16:58.325258] Port 1870 is CLOSED
[2025-02-13 14:16:58.327705] Port 1884 is CLOSED
[2025-02-13 14:16:58.329589] Port 1868 is CLOSED
[2025-02-13 14:16:58.330654] Port 1905 is CLOSED
[2025-02-13 14:16:58.332753] Port 1893 is CLOSED
[2025-02-13 14:16:58.332753] Port 1932 is CLOSED
[2025-02-13 14:16:58.334255] Port 1902 is CLOSED
[2025-02-13 14:16:58.334255] Port 1914 is CLOSED
[2025-02-13 14:16:58.335690] Port 1929 is CLOSED
[2025-02-13 14:16:58.337699] Port 1940 is CLOSED
[2025-02-13 14:16:58.337699] Port 1928 is CLOSED
[2025-02-13 14:16:58.338877] Port 1924 is CLOSED
[2025-02-13 14:16:58.338877] Port 1968 is CLOSED
[2025-02-13 14:16:58.338877] Port 1972 is CLOSED
[2025-02-13 14:16:58.340337] Port 1943 is CLOSED
[2025-02-13 14:16:58.340337] Port 1912 is CLOSED
[2025-02-13 14:16:58.340337] Port 1984 is CLOSED
[2025-02-13 14:16:58.341708] Port 1927 is CLOSED
[2025-02-13 14:16:58.341708] Port 1942 is CLOSED
[2025-02-13 14:16:58.342716] Port 1978 is CLOSED
[2025-02-13 14:16:58.348362] Port 1975 is CLOSED
[2025-02-13 14:16:58.349658] Port 1983 is CLOSED
[2025-02-13 14:16:58.351055] Port 2014 is CLOSED
[2025-02-13 14:16:58.352755] Port 2002 is CLOSED
[2025-02-13 14:16:58.356303] Port 1999 is CLOSED
[2025-02-13 14:16:58.356303] Port 2021 is CLOSED
[2025-02-13 14:16:58.356303] Port 1996 is CLOSED
[2025-02-13 14:16:58.362053] Port 1992 is CLOSED
[2025-02-13 14:16:58.363140] Port 1989 is CLOSED
[2025-02-13 14:16:58.367167] Port 2026 is CLOSED
[2025-02-13 14:16:58.370241] Port 2023 is CLOSED
[2025-02-13 14:16:58.370783] Port 2053 is CLOSED
[2025-02-13 14:16:58.371029] Port 2043 is CLOSED
[2025-02-13 14:16:58.371029] Port 2036 is CLOSED
[2025-02-13 14:16:58.372496] Port 2056 is CLOSED
[2025-02-13 14:16:58.372496] Port 2060 is CLOSED
[2025-02-13 14:16:58.373503] Port 2063 is CLOSED
[2025-02-13 14:16:58.374613] Port 2074 is CLOSED
[2025-02-13 14:16:58.374613] Port 2044 is CLOSED
[2025-02-13 14:16:58.377964] Port 2065 is CLOSED
[2025-02-13 14:16:58.380095] Port 2069 is CLOSED
[2025-02-13 14:16:58.382286] Port 2055 is CLOSED
[2025-02-13 14:16:58.383385] Port 2105 is CLOSED
[2025-02-13 14:16:58.384271] Port 2084 is CLOSED
[2025-02-13 14:16:58.385304] Port 2050 is CLOSED
[2025-02-13 14:16:58.386356] Port 2126 is CLOSED
[2025-02-13 14:16:58.386356] Port 2087 is CLOSED
[2025-02-13 14:16:58.386356] Port 2099 is CLOSED
[2025-02-13 14:16:58.388611] Port 2098 is CLOSED
[2025-02-13 14:16:58.392006] Port 2085 is CLOSED
[2025-02-13 14:16:58.393358] Port 2086 is CLOSED
[2025-02-13 14:16:58.396308] Port 2110 is CLOSED
[2025-02-13 14:16:58.397149] Port 2090 is CLOSED
[2025-02-13 14:16:58.397149] Port 2114 is CLOSED
[2025-02-13 14:16:58.398457] Port 2166 is CLOSED
[2025-02-13 14:16:58.398457] Port 2112 is CLOSED
[2025-02-13 14:16:58.399534] Port 2101 is CLOSED
[2025-02-13 14:16:58.399534] Port 2113 is CLOSED
[2025-02-13 14:16:58.401660] Port 2160 is CLOSED
[2025-02-13 14:16:58.403583] Port 2185 is CLOSED
[2025-02-13 14:16:58.404729] Port 2140 is CLOSED
[2025-02-13 14:16:58.407567] Port 2167 is CLOSED
[2025-02-13 14:16:58.409858] Port 2191 is CLOSED
[2025-02-13 14:16:58.410545] Port 2171 is CLOSED
[2025-02-13 14:16:58.413533] Port 2152 is CLOSED
